"Source Name","Source Type","Source ID","Target Name","Target Type","Target ID","Mapping Type","Mapping Direction","Notes"
"sqs-executor","lambda-function","arn:aws:lambda:us-east-1:418295703256:function:sqs-executor","NO TARGET",,,"to_be_removed","old_to_new","1 resources marked for to_be_removed"
"StaticWebsiteRoutingLambdaEdgePlatformFunction","lambda-function","arn:aws:lambda:us-east-1:418295703256:function:StaticWebsiteRoutingLambdaEdgePlatformFunction","zoca-platform-static-routing-production","lambda-function","arn:aws:lambda:us-east-1:418295703256:function:zoca-platform-static-routing-production","replacement","old_to_new","Mapping 1 resource to 1 target resources"
"StaticWebsiteRoutingLambdaEdgePlatformFunctionStaging","lambda-function","arn:aws:lambda:us-east-1:418295703256:function:StaticWebsiteRoutingLambdaEdgePlatformFunctionStaging","NO TARGET",,,"to_be_removed","old_to_new","1 resources marked for to_be_removed"
"StaticWebsiteRoutingLambdaEdgeResponsePlatformFunctionStaging","lambda-function","arn:aws:lambda:us-east-1:418295703256:function:StaticWebsiteRoutingLambdaEdgeResponsePlatformFunctionStaging","zoca-origin-request-production","lambda-function","arn:aws:lambda:us-east-1:418295703256:function:zoca-origin-request-production","replacement","old_to_new","Bulk many-to-many mapping: 2 sources to 1 targets"
"step-function-multiprocessing","lambda-function","arn:aws:lambda:us-east-1:418295703256:function:step-function-multiprocessing","NO TARGET",,,"to_be_removed","old_to_new","1 resources marked for to_be_removed"
"task-unit","lambda-function","arn:aws:lambda:us-east-1:418295703256:function:task-unit","NO TARGET",,,"to_be_removed","old_to_new","1 resources marked for to_be_removed"
"temp","lambda-function","arn:aws:lambda:us-east-1:418295703256:function:temp","NO TARGET",,,"to_be_removed","old_to_new","1 resources marked for removal"
"TriggerRequestUtilsFunction","lambda-function","arn:aws:lambda:us-east-1:418295703256:function:TriggerRequestUtilsFunction","zoca-utils-trigger-request-production","lambda-function","arn:aws:lambda:us-east-1:418295703256:function:zoca-utils-trigger-request-production","replacement","old_to_new","Mapping 1 resource to 1 target resources"
"VideoMediaFunction","lambda-function","arn:aws:lambda:us-east-1:418295703256:function:VideoMediaFunction","zoca-media-video-production","lambda-function","arn:aws:lambda:us-east-1:418295703256:function:zoca-media-video-production","replacement","old_to_new","Mapping 1 resource to 1 target resources"
"ZocaHostLambdaEdge","lambda-function","arn:aws:lambda:us-east-1:418295703256:function:ZocaHostLambdaEdge","NO TARGET",,,"to_be_removed","old_to_new","1 resources marked for to_be_removed"
"ZocaWebsiteStaticBuilder","lambda-function","arn:aws:lambda:us-east-1:418295703256:function:ZocaWebsiteStaticBuilder","ZocaWebsiteStaticBuilderLambda","lambda-function","arn:aws:lambda:us-east-1:418295703256:function:ZocaWebsiteStaticBuilderLambda","replacement","old_to_new","Mapping 1 resource to 1 target resources"
